"url","itemId","itemName","brandName","itemDepartment","itemCategory","itemComposition","itemPairing"
"http://www.next.co.uk/style/st393968#319999","Style302829","Abercrombie & Fitch Navy Long Sleeve Core Tee","Abercrombie & Fitch","NOT_IN_USE","T-Shirts","100% Cotton.",""
"http://www.next.co.uk/style/st377043#545041","Style311810","Abercrombie & Fitch Navy Padded Jacket","Abercrombie & Fitch","NOT_IN_USE","Jackets","Main 100% Recycled polyester. Shell 100% Nylon.",""
"http://www.next.co.uk/style/st393886#643203","Style305464","Abercrombie & Fitch Navy Logo Crew Jumper","Abercrombie & Fitch","NOT_IN_USE","Jumpers","60% Cotton, 40% Polyester.",""
"http://www.next.co.uk/style/st270023#576685","Style164376","Abercrombie & Fitch Icon Crew Neck Tee Three Pack","Abercrombie & Fitch","NOT_IN_USE","T-Shirts","Grey 60% Cotton, 40% Polyester.  White And Black 100% Cotton.",""
"http://www.next.co.uk/style/st380994#911074","Style309650","Abercrombie & Fitch Blue Padded Jacket","Abercrombie & Fitch","NOT_IN_USE","Jackets","100% Polyester.",""
"http://www.next.co.uk/style/st287857#527877","Style199358","Abercrombie & Fitch Long Sleeve Shirt","Abercrombie & Fitch","NOT_IN_USE","Shirts","98% Cotton, 2% Elastolefin.",""
"http://www.next.co.uk/style/st393887#645500","Style305465","Abercrombie & Fitch Red Logo Crew Neck Jumper","Abercrombie & Fitch","NOT_IN_USE","T-Shirts","100% Cotton.",""
"http://www.next.co.uk/style/st287856#516483","Style187942","Abercrombie & Fitch Short Sleeve Shirt","Abercrombie & Fitch","NOT_IN_USE","Shirts","100% Cotton.",""
"http://www.next.co.uk/style/st393950#319923","Style302828","Abercrombie & Fitch T-Shirts Five Pack","Abercrombie & Fitch","NOT_IN_USE","T-Shirts","100% Cotton.",""
"http://www.next.co.uk/style/st438115#690868","Style295094","Abercrombie & Fitch Black Tee Three Pack","Abercrombie & Fitch","NOT_IN_USE","T-Shirts","100% Cotton.",""
"http://www.next.co.uk/style/st287857#528087","Style199358","Abercrombie & Fitch Long Sleeve Shirt","Abercrombie & Fitch","NOT_IN_USE","Shirts","98% Cotton, 2% Elastolefin.",""
"http://www.next.co.uk/style/st393969#320804","Style302830","Abercrombie & Fitch Black Long Sleeve T-Shirt","Abercrombie & Fitch","NOT_IN_USE","T-Shirts","100% Cotton.",""
"http://www.next.co.uk/style/st422416#360507","Style311793","Abercrombie & Fitch Burgundy Cozy Dress","Abercrombie & Fitch","NOT_IN_USE","Dresses","48% Polyester, 48% Viscose, 4% Elastane.",""
"http://www.next.co.uk/style/st393970#323240","Style302831","Abercrombie & Fitch Burgundy Long Sleeve Core T-Shirt","Abercrombie & Fitch","NOT_IN_USE","T-Shirts","100% Cotton.",""
"http://www.next.co.uk/style/st006238#561127","Style183380","Abercrombie & Fitch Core Icon Polo","Abercrombie & Fitch","NOT_IN_USE","Polo Shirts","97% Cotton, 3% Elastane.",""
"http://www.next.co.uk/style/st339942#345427","Style256979","Abercrombie & Fitch Navy Long Sleeve Top","Abercrombie & Fitch","NOT_IN_USE","T-Shirts","100% Cotton.",""
"http://www.next.co.uk/style/st386070#605238","Style289226","Abercrombie & Fitch Pink Long Sleeve Tee","Abercrombie & Fitch","NOT_IN_USE","T-Shirts","100% Cotton.",""
"http://www.next.co.uk/style/st393949#311456","Style304959","Abercrombie & Fitch White/Blue/Grey T-Shirts Three Pack","Abercrombie & Fitch","NOT_IN_USE","T-Shirts","100% Cotton.",""
"http://www.next.co.uk/style/st390963#639121","Style299548","Abercrombie & Fitch Navy Icon Hoody","Abercrombie & Fitch","NOT_IN_USE","Hoodies","60% Cotton, 40% Polyester.",""
"http://www.next.co.uk/style/st386232#928846","Style289770","Abercrombie & Fitch Navy Core Jogger","Abercrombie & Fitch","NOT_IN_USE","Joggers","55% Cotton, 45% Polyester.",""
"http://www.next.co.uk/style/st386207#311956","Style288261","Abercrombie & Fitch Blue And Red Check Shirt","Abercrombie & Fitch","NOT_IN_USE","Shirts","100% Cotton.",""
